site,year,block,plot,pd,pd_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sample_date_anthesis,sp1,sp2,sp3,rye_g,weed_g,LRR_weeds,RCI_weeds,rye_kg,weed_kg,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,
BARC,2022,1,101,oct4,1,0,10/19/21,0,3/8/22,speedwell,LAMAM,VICVI,64.96,5/11/22,VICVI,CAPBP,dock,0,107.3,0,0,0,4292,,,13.901,6.58,63,2.38,
BARC,2022,2,215,oct4,1,0,10/19/21,0,3/8/22,STEME,LAMAM,speedwell,51.98,5/11/22,CAPBP,THLAR,STEME,0,74.9,0,0,0,2996,,,13.901,6.58,63,2.38,
BARC,2022,3,308,oct4,1,0,10/19/21,0,3/8/22,LAMAM,LAMPU,STEME,61.07,5/11/22,VICVI,CAPBP,THLAR,0,113.1,0,0,0,4524,,,13.901,6.58,63,2.38,
BARC,2022,1,107,oct21,2,0,11/6/21,0,3/8/22,LAMAM,speedwell,CAPBP,45.63,5/11/22,CAPBP,VICVI,VIOAR,0,58.4,0,0,0,2336,,,25.0335,6.53,56,2.38,
BARC,2022,2,203,oct21,2,0,11/6/21,0,3/8/22,LAMAM,unknown,speedwell,42.38,5/11/22,CAPBP,THLAR,STEME,0,60.3,0,0,0,2412,,,25.0335,6.53,56,2.38,
BARC,2022,3,316,oct21,2,0,11/6/21,0,3/8/22,unknown 2,speedwell,THLAR,49.38,5/11/22,CAPBP,THLAR,VICVI,0,88.8,0,0,0,3552,,,25.0335,6.53,56,2.38,
BARC,2022,1,115,nov10,3,0,12/3/21,0,3/8/22,LAMAM,speedwell,unknown,34.32,5/11/22,VICVI,CAPBP,speedwell,0,66.9,0,0,0,2676,,,10.971,6.91,76,1.52,
BARC,2022,2,207,nov10,3,0,12/3/21,0,3/8/22,LAMAM,unknown,na,13.77,5/11/22,LAMAM,CAPBP,STEME,0,25.2,0,0,0,1008,,,10.971,6.91,76,1.52,
BARC,2022,3,305,nov10,3,0,12/3/21,0,3/8/22,speedwell,STEME,LAMPU,64.24,5/11/22,VICVI,THLAR,CAPBP,0,148.9,0,0,0,5956,,,10.971,6.91,76,1.52,
BARC,2022,1,102,oct4,1,15,10/19/21,13,3/8/22,LAMAM,VICVI,STEME,69.04,5/11/22,VICVI,ANTCO,na,154.6,55.1,0.396415273,-0.486486486,6184,2204,,,13.901,6.58,63,2.38,
BARC,2022,1,113,nov10,3,15,12/3/21,7,3/8/22,LAMAM,speedwell,na,31.25,5/11/22,CAPBP,speedwell,VIOAR,125.5,34.1,0.39896671,-0.490284006,5020,1364,,,10.971,6.91,76,1.52,
BARC,2022,3,318,oct21,2,15,11/6/21,8,3/8/22,speedwell,unknown 2,unknown 1,51.2,5/11/22,CAPBP,THLAR,speedwell,140,29,0.514871482,-0.673423423,5600,1160,,,25.0335,6.53,56,2.38,
BARC,2022,1,111,oct21,2,15,11/6/21,16,3/8/22,LAMAM,speedwell,STEME,80.19,5/11/22,VICVI,VIOAR,speedwell,154.8,16.4,0.541846317,-0.719178082,6192,656,,,25.0335,6.53,56,2.38,
BARC,2022,3,311,oct4,1,15,10/19/21,8,3/8/22,speedwell,LAMAM,STEME,79.12,5/11/22,VICVI,CAPBP,speedwell,144.4,30.6,0.547799374,-0.729442971,5776,1224,,,13.901,6.58,63,2.38,
BARC,2022,2,211,nov10,3,15,12/3/21,0,3/8/22,LAMAM,unknown,STEME,19.37,5/11/22,STEME,LAMAM,THLAR,130.8,6.3,0.559615788,-0.75,5232,252,,,10.971,6.91,76,1.52,
BARC,2022,3,302,nov10,3,15,12/3/21,0,3/8/22,LAMAM,LAMPU,THLAR,54.91,5/11/22,VICVI,CAPBP,STEME,67.5,35.3,0.566976142,-0.76292814,2700,1412,,,10.971,6.91,76,1.52,
BARC,2022,2,217,oct4,1,15,10/19/21,9,3/8/22,LAMAM,STEME,unknown,36.72,5/11/22,CAPBP,STEME,ANTCO,47.4,14.3,0.59281775,-0.809078772,1896,572,,,13.901,6.58,63,2.38,
BARC,2022,2,202,oct21,2,15,11/6/21,17,3/8/22,LAMAM,unknown,speedwell,73.81,5/11/22,CAPBP,STEME,THLAR,280.7,6.17,0.640631179,-0.897678275,11228,246.8,,,25.0335,6.53,56,2.38,
BARC,2022,1,112,oct21,2,30,11/6/21,30,3/8/22,speedwell,LAMAM,VICVI,81.05,5/11/22,VICVI,ANTCO,STEME,177.1,43.9,0.221772749,-0.248287671,7084,1756,,,25.0335,6.53,56,2.38,
BARC,2022,1,114,nov10,3,30,12/3/21,11,3/8/22,speedwell,LAMAM,na,49.17,5/11/22,VICVI,speedwell,na,104.2,44.9,0.284313175,-0.328849028,4168,1796,,,10.971,6.91,76,1.52,
BARC,2022,2,208,nov10,3,30,12/3/21,3,3/8/22,LAMAM,speedwell,STEME,26.48,5/11/22,speedwell,STEME,CAPBP,83.8,13.1,0.392149332,-0.48015873,3352,524,,,10.971,6.91,76,1.52,
BARC,2022,3,312,oct4,1,30,10/19/21,23,3/8/22,speedwell,STEME,VICVI,89.35,5/11/22,VICVI,VIOAR,STEME,250.2,42,0.487749741,-0.628647215,10008,1680,,,13.901,6.58,63,2.38,
BARC,2022,3,301,nov10,3,30,12/3/21,22,3/8/22,LAMAM,LAMPU,speedwell,46.59,5/11/22,VICVI,VIOAR,STEME,43,44.9,0.529719214,-0.698455339,1720,1796,,,10.971,6.91,76,1.52,
BARC,2022,2,213,oct4,1,30,10/19/21,18,3/8/22,LAMAM,STEME,unknown,50.48,5/11/22,VICVI,STEME,CARHI,112.3,20.5,0.545981395,-0.726301736,4492,820,,,13.901,6.58,63,2.38,
BARC,2022,1,103,oct4,1,30,10/19/21,21,3/8/22,LAMAM,STEME,VICVI,83.18,5/11/22,VICVI,VIOAR,na,278.1,24,0.574548342,-0.776328052,11124,960,,,13.901,6.58,63,2.38,
BARC,2022,3,315,oct21,2,30,11/6/21,20,3/8/22,speedwell,LAMAM,STEME,79.72,5/11/22,VICVI,CAPBP,POATR,246.9,16.27,0.597065307,-0.816779279,9876,650.8,,,25.0335,6.53,56,2.38,
BARC,2022,2,206,oct21,2,30,11/6/21,28,3/8/22,LAMAM,unknown,STEME,67.32,5/11/22,STEME,CARHI,THLAR,333.3,6.37,0.638881856,-0.894361526,13332,254.8,,,25.0335,6.53,56,2.38,
BARC,2022,1,118,nov10,3,60,12/3/21,29,3/8/22,LAMAM,VICVI,VIOAR,49.92,5/11/22,VICVI,ANTCO,VIOAR,111.4,58.3,0.120933689,-0.128550075,4456,2332,,,10.971,6.91,76,1.52,
BARC,2022,2,212,nov10,3,60,12/3/21,14,3/8/22,LAMAM,speedwell,unknown,20.93,5/11/22,STEME,THLAR,speedwell,158.7,12,0.421213465,-0.523809524,6348,480,,,10.971,6.91,76,1.52,
BARC,2022,1,109,oct21,2,60,11/6/21,57,3/8/22,VICVI,LAMAM,speedwell,69.96,5/11/22,VICVI,speedwell,VIOAR,124.1,16.8,0.537854296,-0.712328767,4964,672,,,25.0335,6.53,56,2.38,
BARC,2022,3,306,nov10,3,60,12/3/21,22,3/8/22,LAMAM,speedwell,STEME,58.86,5/11/22,VICVI,CAPBP,speedwell,62.7,29.3,0.589575974,-0.80322364,2508,1172,,,10.971,6.91,76,1.52,
BARC,2022,1,104,oct4,1,60,10/19/21,39,3/8/22,speedwell,LAMAM,VICVI,73.92,5/11/22,VICVI,ANTCO,VIOAR,186.5,20.8,0.59119805,-0.806150979,7460,832,,,13.901,6.58,63,2.38,
BARC,2022,3,309,oct4,1,60,10/19/21,41,3/8/22,LAMAM,STEME,speedwell,68.17,5/11/22,VICVI,STEME,VIOAR,194.7,11.1,0.642830653,-0.901856764,7788,444,,,13.901,6.58,63,2.38,
